hour,flow_mean_avg,flow_mean_std,flow_mean_min,flow_mean_max,flow_var_avg,occupancy_avg,occupancy_std,occupancy_p50,occupancy_p90,n_frames_lit,dark_fraction,file_count,frac_idle,frac_active,frac_drinking,frac_feeding,frac_preening,frac_perching,frac_wing_flapping
2025-08-07 12:00:00,0.360531418066041,0.20044852379381375,0.10698193311691284,1.911358118057251,1.7493253303704417,0.05198641817838247,0.03500619831187376,0.047834201388888886,0.09907725694444444,735.0,0.0,1,,,,,,,
2025-08-07 13:00:00,0.34968642463643634,0.25699202385172615,0.11656602472066879,2.717855930328369,1.7330879118499245,0.049201180971390555,0.036668013900039285,0.040403645833333335,0.09190364583333333,1503.0,0.0,1,,,,,,,
2025-08-08 11:00:00,2.29120135307312,,2.29120135307312,2.29120135307312,37.95729446411133,0.21490885416666666,,0.21490885416666666,0.21490885416666666,1.0,0.0,1,,,,,,,
2025-08-08 13:00:00,0.2807119675846987,0.0718688265963718,0.1702876091003418,0.49414965510368347,1.008843023416608,0.03926114341085271,0.010731062563001582,0.0368359375,0.05462326388888889,43.0,0.0,1,,,,,,,
2025-08-08 14:00:00,0.33166400373861005,0.12220404246674728,0.12348449975252151,0.927287757396698,1.4609347589036195,0.04887340204352934,0.020446466944855125,0.04625,0.07717708333333334,1797.0,0.0,2,,,,,,,
2025-08-08 15:00:00,0.31825374885233276,0.15157281117838556,0.12436232715845108,1.7773597240447998,1.3408522294654,0.04727228025352243,0.022517500235138786,0.04548177083333334,0.07196701388888889,1798.0,0.0,2,,,,,,,
2025-08-08 16:00:00,0.3748491809692526,0.10295970365577566,0.1706896275281906,1.1157647371292114,1.6288555987141964,0.06221209490740741,0.016128195557112614,0.06182725694444444,0.08285850694444445,1797.0,0.0,2,,,,,,,
2025-08-08 17:00:00,0.49523686823146096,0.1425614826597249,0.30334702134132385,1.4179856777191162,2.4221137587366433,0.0878139218151341,0.01936812615654231,0.08608723958333334,0.10961371527777777,116.0,0.9354838709677419,2,,,,,,,
2025-08-08 18:00:00,,,,,,,,,,,1.0,3,,,,,,,
2025-08-08 19:00:00,,,,,,,,,,,1.0,2,,,,,,,
2025-08-08 20:00:00,,,,,,,,,,,1.0,2,,,,,,,
2025-08-08 21:00:00,,,,,,,,,,,1.0,2,,,,,,,
2025-08-08 22:00:00,,,,,,,,,,,1.0,2,,,,,,,
2025-08-08 23:00:00,,,,,,,,,,,1.0,2,,,,,,,
2025-08-09 00:00:00,,,,,,,,,,,1.0,3,,,,,,,
2025-08-09 01:00:00,,,,,,,,,,,1.0,2,,,,,,,
2025-08-09 02:00:00,,,,,,,,,,,1.0,2,,,,,,,
2025-08-09 03:00:00,,,,,,,,,,,1.0,2,,,,,,,
2025-08-09 04:00:00,,,,,,,,,,,1.0,2,,,,,,,
2025-08-09 05:00:00,,,,,,,,,,,1.0,3,,,,,,,
2025-08-09 06:00:00,,,,,,,,,,,1.0,2,,,,,,,
2025-08-09 07:00:00,0.4035356349186335,0.15407160104532747,0.1443433314561844,1.4267498254776,1.9573566839720553,0.06528178697357966,0.025535776768800676,0.06166449652777778,0.10173567708333334,1678.0,0.06570155902004454,2,,,,,,,
2025-08-09 08:00:00,0.36283826943265113,0.2134327346480328,0.12863020598888397,3.1592326164245605,1.862686489183719,0.05534880423777283,0.025241293611264853,0.05186631944444445,0.08240017361111111,1797.0,0.0,2,,,,,,,
2025-08-09 09:00:00,0.28949035966585396,0.1479131366584536,0.11529596894979477,1.2214936017990112,1.2190656536173243,0.04175388523696902,0.02754932372998894,0.03417100694444444,0.08085677083333334,1797.0,0.0,2,,,,,,,
2025-08-09 10:00:00,0.28559258232569373,0.18437784584385483,0.10610193759202957,2.701711654663086,1.2602937903093436,0.04040354675126825,0.029412936690179362,0.03180989583333334,0.0753884548611111,1796.0,0.0,3,,,,,,,
2025-08-09 11:00:00,0.27993148415700614,0.14132120545379814,0.10294739902019501,1.3099685907363892,1.197003223492999,0.03989930941787171,0.025763459604931923,0.034822048611111114,0.07353124999999999,1798.0,0.0,2,,,,,,,
2025-08-09 12:00:00,0.2674125564234351,0.10970283292120583,0.10781295597553253,0.7949329018592834,1.1182524446640567,0.03722413271733754,0.019366566486413564,0.03410590277777778,0.06387673611111112,1797.0,0.0,2,,,,,,,
2025-08-09 13:00:00,0.2781922715940473,0.10035819715670062,0.10483961552381516,0.7852746844291687,1.1464508937046753,0.040336186758022634,0.017631448242204216,0.04011284722222222,0.06298090277777778,1797.0,0.0,2,,,,,,,
2025-08-09 14:00:00,0.29047090666338543,0.11403328507207104,0.10945229977369308,0.8588898181915283,1.226836786696114,0.04282049219764422,0.019904787731408333,0.040078125,0.07013888888888889,1797.0,0.0,2,,,,,,,
2025-08-09 15:00:00,0.33061083887427845,0.1562573233839644,0.10757587105035782,2.3357293605804443,1.5703085022822918,0.05178339258924152,0.022433586859855918,0.049162326388888886,0.07838541666666667,1796.0,0.0,3,,,,,,,
2025-08-09 16:00:00,0.32749542123218534,0.08917838822365072,0.13901302218437195,0.8957916498184204,1.3344432705302658,0.05381808539194784,0.014966400494542833,0.052573784722222225,0.07269487847222222,1798.0,0.0,2,,,,,,,
2025-08-09 17:00:00,0.39146014474905455,0.09412787828000083,0.21656550467014313,0.6583325266838074,1.612785642218386,0.0688454861111111,0.01468554627846196,0.06854166666666667,0.08744010416666667,117.0,0.9349276974416018,2,,,,,,,
2025-08-09 18:00:00,,,,,,,,,,,1.0,2,,,,,,,
2025-08-09 19:00:00,,,,,,,,,,,1.0,2,,,,,,,
