[scan] probing metadata for 22 folder(s) (ffprobe)...
  [340/1451] videos  (1.9/min, ETA ~583 min, records 474356)
  [341/1451] videos  (1.9/min, ETA ~582 min, records 475859)
  [342/1451] videos  (1.9/min, ETA ~583 min, records 477362)
  [343/1451] videos  (1.9/min, ETA ~581 min, records 478471)
  [344/1451] videos  (1.9/min, ETA ~583 min, records 479975)
  [345/1451] videos  (1.9/min, ETA ~581 min, records 481479)
  [346/1451] videos  (1.9/min, ETA ~579 min, records 482982)
  [347/1451] videos  (1.9/min, ETA ~580 min, records 484486)
  [348/1451] videos  (1.9/min, ETA ~578 min, records 485990)
  [349/1451] videos  (1.9/min, ETA ~576 min, records 487494)
  [350/1451] videos  (1.9/min, ETA ~575 min, records 488997)
  [351/1451] videos  (1.9/min, ETA ~575 min, records 490501)
  [352/1451] videos  (1.9/min, ETA ~573 min, records 492005)
  [353/1451] videos  (1.9/min, ETA ~571 min, records 493509)
  [354/1451] videos  (1.9/min, ETA ~571 min, records 495013)
  [355/1451] videos  (1.9/min, ETA ~571 min, records 496517)
  [356/1451] videos  (1.9/min, ETA ~569 min, records 498021)
  [357/1451] videos  (1.9/min, ETA ~567 min, records 499525)
  [358/1451] videos  (1.9/min, ETA ~566 min, records 501029)
  [359/1451] videos  (1.9/min, ETA ~567 min, records 502533)
  [360/1451] videos  (1.9/min, ETA ~565 min, records 504037)
  [361/1451] videos  (1.9/min, ETA ~564 min, records 505540)
  [362/1451] videos  (1.9/min, ETA ~565 min, records 507043)
  [363/1451] videos  (1.9/min, ETA ~565 min, records 508546)
  [364/1451] videos  (1.9/min, ETA ~563 min, records 510049)
  [365/1451] videos  (1.9/min, ETA ~562 min, records 511552)
  [366/1451] videos  (1.9/min, ETA ~564 min, records 513055)
  [367/1451] videos  (1.9/min, ETA ~564 min, records 514558)
  [368/1451] videos  (1.9/min, ETA ~562 min, records 516061)
  [369/1451] videos  (1.9/min, ETA ~561 min, records 517564)
  [370/1451] videos  (1.9/min, ETA ~563 min, records 519067)
  [371/1451] videos  (1.9/min, ETA ~563 min, records 520570)
  [372/1451] videos  (1.9/min, ETA ~561 min, records 522073)
  [373/1451] videos  (1.9/min, ETA ~559 min, records 523576)
  [374/1451] videos  (1.9/min, ETA ~558 min, records 525080)
  [375/1451] videos  (1.9/min, ETA ~559 min, records 526584)
  [376/1451] videos  (1.9/min, ETA ~557 min, records 528088)
  [377/1451] videos  (1.9/min, ETA ~555 min, records 529592)
  [378/1451] videos  (1.9/min, ETA ~553 min, records 531096)
  [379/1451] videos  (1.9/min, ETA ~555 min, records 532600)
  [380/1451] videos  (1.9/min, ETA ~553 min, records 534104)
  [381/1451] videos  (1.9/min, ETA ~551 min, records 535608)
  [382/1451] videos  (1.9/min, ETA ~550 min, records 537112)
  [383/1451] videos  (1.9/min, ETA ~551 min, records 538616)
  [384/1451] videos  (1.9/min, ETA ~549 min, records 540120)
  [385/1451] videos  (1.9/min, ETA ~547 min, records 541624)
  [386/1451] videos  (2.0/min, ETA ~546 min, records 543128)
  [387/1451] videos  (1.9/min, ETA ~547 min, records 544632)
  [388/1451] videos  (2.0/min, ETA ~545 min, records 546136)
  [389/1451] videos  (2.0/min, ETA ~543 min, records 547640)
  [390/1451] videos  (2.0/min, ETA ~543 min, records 549143)
  [391/1451] videos  (1.9/min, ETA ~545 min, records 550646)
  [392/1451] videos  (1.9/min, ETA ~543 min, records 552149)
  [393/1451] videos  (2.0/min, ETA ~542 min, records 553652)
  [394/1451] videos  (1.9/min, ETA ~542 min, records 555155)
  [395/1451] videos  (1.9/min, ETA ~544 min, records 556658)
  [396/1451] videos  (1.9/min, ETA ~542 min, records 558161)
  [397/1451] videos  (2.0/min, ETA ~540 min, records 559664)
  [398/1451] videos  (1.9/min, ETA ~541 min, records 561167)
  [399/1451] videos  (1.9/min, ETA ~540 min, records 562147)
  [400/1451] videos  (1.9/min, ETA ~541 min, records 563651)
  [401/1451] videos  (1.9/min, ETA ~539 min, records 565155)
  [402/1451] videos  (1.9/min, ETA ~540 min, records 566659)
  [403/1451] videos  (1.9/min, ETA ~539 min, records 568162)
  [404/1451] videos  (1.9/min, ETA ~537 min, records 569665)
  [405/1451] videos  (1.9/min, ETA ~538 min, records 571168)
